kid,billable_serv_id,service_addr,type,rate_code,bill_date,consumpsum
107767,101313,817 BAY AVE KELOWNA,W,555,2013-01-16,117
107779,101056,494 BARKLEY RD KELOWNA,W,555,2013-01-26,309
107781,101049,480 BARKLEY RD KELOWNA,W,555,2013-01-26,432
107793,101048,478 BARKLEY RD KELOWNA,W,555,2013-01-26,295
107805,101046,476 BARKLEY RD KELOWNA,W,555,2013-01-26,337
107817,112165,4479 LAKESHORE RD KELOWNA,W,555,2013-01-26,217
107829,123320,4491 WALKER RD KELOWNA,W,555,2013-01-26,224
107831,114111,824 MANHATTAN DR KELOWNA,W,555,2013-01-06,482
107856,112596,1295 LAWRENCE AVE  MAIN KELOWNA,W,555,2013-01-06,433
107868,101055,490 BARKLEY RD KELOWNA,W,555,2013-01-26,528
107870,101054,488 BARKLEY RD KELOWNA,W,555,2013-01-26,370
107906,123318,4485 WALKER RD KELOWNA,W,555,2013-01-26,560
107918,118103,809 RAYMER RD KELOWNA,W,555,2013-01-26,477
107920,118106,815 RAYMER RD KELOWNA,W,555,2013-01-26,247
107944,101053,486 BARKLEY RD KELOWNA,W,555,2013-01-26,439
107957,101052,484 BARKLEY RD KELOWNA,W,555,2013-01-26,406
107969,101051,482 BARKLEY RD KELOWNA,W,555,2013-01-26,280
107971,123142,795 VARNEY CRT KELOWNA,W,555,2013-01-26,372
107983,123316,4479 WALKER RD KELOWNA,W,555,2013-01-26,326
107995,112765,555 LAWRENCE AVE  A KELOWNA,W,602,2013-01-16,628
108009,112763,549 LAWRENCE AVE  WATER KELOWNA,W,600,2013-01-16,563
108011,123315,4473 WALKER RD KELOWNA,W,555,2013-01-26,400
108035,112579,1287 LAWRENCE AVE KELOWNA,W,555,2013-01-06,348
108035,112581,1289 LAWRENCE AVE KELOWNA,W,555,2013-01-06,232
108086,103941,578 CADDER AVE  WTR KELOWNA,W,555,2013-01-26,338
108100,103935,562 CADDER AVE  MAIN KELOWNA,W,555,2013-01-26,413
108136,112084,4071 LAKESHORE RD KELOWNA,W,555,2013-01-26,143
